Player,Team,GP,Pass Att,Pass Inc,Pass Int,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Return TD,Fum Lost,Fum,Tack,Fum Rec,POS
Davante Adams,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nelson Agholor,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,93.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keenan Allen,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Geronimo Allison,GB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Amendola,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,77.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,WR
Robby Anderson,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tavon Austin,DAL,1.0,0.0,0.0,0.0,6.0,27.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,WR
Doug Baldwin,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Odell Beckham,NYG,1.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,97.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Travis Benjamin,LAC,1.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,WR
Victor Bolden,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,WR
Tyler Boyd,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Quan Bray,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,157.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
