Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS
Davante Adams,GB,1.0,0.07,0.0,5.31,64.71,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nelson Agholor,PHI,1.0,2.67,0.03,5.46,59.14,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kamar Aiken,,1.0,0.03,0.0,0.51,6.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keenan Allen,LAC,1.0,0.45,0.0,6.86,86.34,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Geronimo Allison,GB,1.0,0.06,0.0,3.07,35.73,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Amendola,MIA,1.0,0.51,0.0,5.42,59.16,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robby Anderson,NYJ,1.0,1.69,0.01,3.74,51.62,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tavon Austin,DAL,1.0,10.46,0.05,0.19,2.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.31,0.0,3.35,38.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Odell Beckham,NYG,1.0,1.53,0.01,6.34,82.28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Bellamy,CHI,1.0,0.27,0.0,0.41,6.46,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.06,0.0,2.9,39.65,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Travis Benjamin,LAC,1.0,5.26,0.02,1.27,18.09,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kendrick Bourne,SF,1.0,0.02,0.0,0.99,12.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyler Boyd,CIN,1.0,0.51,0.0,3.5,37.92,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.18,0.0,7.48,110.32,0.69,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaron Brown,SEA,1.0,0.02,0.0,1.57,20.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Brown,BAL,1.0,2.31,0.02,2.89,40.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Martavis Bryant,OAK,1.0,0.09,0.0,1.11,19.22,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Callaway,CLE,1.0,0.39,0.0,1.47,16.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Austin Carr,NO,1.0,0.59,0.0,2.06,25.69,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
DeAndre Carter,HOU,1.0,0.13,0.0,2.0,25.54,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
D.J. Chark,JAX,1.0,0.38,0.0,0.7,9.19,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kaelin Clay,,1.0,0.34,0.0,0.43,5.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Randall Cobb,GB,1.0,2.05,0.0,4.54,53.93,0.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keelan Cole,JAX,1.0,0.3,0.0,3.17,55.92,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Coleman,NYG,1.0,0.4,0.0,1.4,18.88,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Stacy Coley,,1.0,0.11,0.0,0.16,2.86,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chris Conley,KC,1.0,0.06,0.0,1.52,21.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brandin Cooks,LA,1.0,2.22,0.02,3.93,63.71,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Amari Cooper,DAL,1.0,1.48,0.01,2.89,42.14,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Crabtree,BAL,1.0,0.1,0.0,4.54,59.57,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jamison Crowder,WAS,1.0,1.3,0.01,4.59,57.37,0.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Davis,TEN,1.0,0.06,0.0,4.27,56.14,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Stefon Diggs,MIN,1.0,2.29,0.01,4.52,60.02,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Doctson,WAS,1.0,0.21,0.0,3.22,47.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Phillip Dorsett,NE,1.0,0.15,0.0,2.36,33.57,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
