Player,Team,GP,Pass Att,Pass Inc,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,200+ Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk,Fum Yds,POS
Ameer Abdullah,MIN,2.0,0.0,0.0,18.0,101.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jay Ajayi,PHI,15.0,0.0,0.0,260.0,1272.0,8.0,1.0,1.0,1.0,3.0,27.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,RB
Javorius Allen,BAL,4.0,0.0,0.0,9.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Cameron Artis-Payne,CAR,3.0,0.0,0.0,36.0,144.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,10.0,0.0,0.0,55.0,223.0,1.0,1.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,RB
Le'Veon Bell,PIT,12.0,1.0,1.0,261.0,1268.0,7.0,0.0,0.0,5.0,1.0,75.0,616.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,RB
Giovani Bernard,CIN,10.0,0.0,0.0,91.0,337.0,2.0,0.0,0.0,0.0,0.0,39.0,336.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,RB
Kapri Bibbs,GB,9.0,0.0,0.0,29.0,129.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,1.0,1.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
LeGarrette Blount,DET,16.0,0.0,0.0,299.0,1161.0,18.0,2.0,0.0,4.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,14.0,0.0,0.0,100.0,420.0,1.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,RB
Devontae Booker,DEN,16.0,0.0,0.0,174.0,612.0,4.0,0.0,0.0,0.0,0.0,31.0,265.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,RB
Mack Brown,,2.0,0.0,0.0,8.0,82.0,1.0,1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,RB
Malcolm Brown,LA,10.0,0.0,0.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
Rex Burkhead,NE,14.0,0.0,0.0,74.0,344.0,2.0,0.0,0.0,1.0,0.0,17.0,145.0,0.0,0.0,0.0,0.0,114.0,0.0,1.0,1.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,RB
Michael Burton,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Travaris Cadet,CAR,15.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,40.0,281.0,4.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,RB
Tevin Coleman,ATL,13.0,0.0,0.0,118.0,520.0,8.0,1.0,1.0,0.0,0.0,31.0,421.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,9.0,0.0,0.0,31.0,125.0,1.0,0.0,0.0,0.0,0.0,11.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,RB
Isaiah Crowell,NYJ,16.0,0.0,0.0,198.0,952.0,7.0,1.0,1.0,4.0,0.0,40.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
Benny Cunningham,CHI,11.0,0.0,0.0,21.0,101.0,0.0,0.0,0.0,0.0,0.0,16.0,91.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,RB
Mike Davis,SEA,7.0,0.0,0.0,19.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
James Develin,NE,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Kenneth Dixon,BAL,12.0,0.0,0.0,88.0,382.0,2.0,0.0,0.0,0.0,0.0,30.0,162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Kenyan Drake,MIA,13.0,0.0,0.0,33.0,179.0,2.0,1.0,0.0,0.0,0.0,9.0,46.0,0.0,0.0,0.0,0.0,397.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,15.0,0.0,0.0,322.0,1631.0,15.0,2.0,2.0,7.0,0.0,32.0,363.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,-7.0,RB
Tyler Ervin,BAL,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,524.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,RB
Josh Ferguson,HOU,14.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,136.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,RB
Jalston Fowler,,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Devonta Freeman,ATL,16.0,0.0,0.0,227.0,1079.0,11.0,1.0,1.0,2.0,0.0,54.0,462.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Mike Gillislee,,15.0,0.0,0.0,101.0,577.0,8.0,1.0,0.0,0.0,0.0,9.0,50.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,RB
Melvin Gordon,LAC,13.0,0.0,0.0,254.0,997.0,10.0,0.0,0.0,3.0,0.0,41.0,419.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Frank Gore,MIA,16.0,0.0,0.0,263.0,1025.0,4.0,0.0,0.0,2.0,0.0,38.0,277.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Corey Grant,JAX,10.0,0.0,0.0,32.0,164.0,1.0,1.0,1.0,1.0,0.0,4.0,35.0,1.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,RB
Todd Gurley,LA,16.0,0.0,0.0,278.0,885.0,6.0,0.0,0.0,0.0,0.0,43.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,RB
Derrick Henry,TEN,14.0,0.0,0.0,110.0,490.0,5.0,0.0,0.0,0.0,0.0,13.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Bronson Hill,,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeremy Hill,NE,15.0,0.0,0.0,222.0,839.0,9.0,1.0,1.0,2.0,0.0,21.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,15.0,0.0,0.0,252.0,1313.0,6.0,0.0,0.0,7.0,0.0,29.0,298.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,RB
Akeem Hunt,,8.0,0.0,0.0,20.0,109.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,RB
Carlos Hyde,JAX,13.0,0.0,0.0,217.0,988.0,6.0,0.0,0.0,2.0,0.0,27.0,163.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,RB
Mark Ingram,NO,16.0,0.0,0.0,205.0,1043.0,6.0,1.0,1.0,3.0,0.0,46.0,319.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Ivory,BUF,11.0,0.0,0.0,117.0,439.0,3.0,0.0,0.0,1.0,0.0,20.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,RB
Andy Janovich,DEN,9.0,0.0,0.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
David Johnson,ARI,16.0,0.0,0.0,293.0,1239.0,16.0,1.0,1.0,4.0,0.0,80.0,879.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,RB
Duke Johnson,CLE,16.0,1.0,1.0,73.0,358.0,1.0,0.0,0.0,0.0,0.0,53.0,514.0,0.0,0.0,0.0,0.0,131.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Malcolm Johnson,GB,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taiwan Jones,BUF,10.0,0.0,0.0,1.0,-8.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,RB
