Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,501.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Chicago Bears,CHI,1.0,5.0,2.0,1.0,0.0,2.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,420.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,1.0,2.0,3.0,0.0,0.0,49.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,447.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,0.0,1.0,1.0,0.0,0.0,43.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,269.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,5.0,1.0,2.0,3.0,0.0,0.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,2.0,2.0,0.0,0.0,75.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Dallas Cowboys,DAL,1.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,290.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,1.0,1.0,0.0,0.0,0.0,89.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,272.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,0.0,1.0,0.0,0.0,44.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,0.0,1.0,0.0,0.0,82.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,403.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,3.0,2.0,0.0,1.0,0.0,0.0,54.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,357.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,2.0,0.0,0.0,0.0,1.0,52.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,113.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,357.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,1.0,0.0,1.0,0.0,0.0,42.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,1.0,1.0,0.0,2.0,0.0,0.0,64.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,260.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,80.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,177.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,2.0,0.0,1.0,0.0,0.0,23.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,5.0,0.0,0.0,1.0,0.0,0.0,103.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,208.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
