Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Alan Cross,TB,0.0,0.0,0.0,0,0,0,0,0,0.0
Anthony Firkser,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Antonio Gates,LAC,0.6,5.0,0.0,0,0,0,0,0,0.0
Antony Auclair,TB,0.2,2.19,0.0,0,0,0,0,0,0.0
Austin Hooper,ATL,3.8,40.0,0.0,0,0,0,0,0,0.0
Ben Braunecker,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Ben Koyack,JAX,0.0,0.0,0.0,0,0,0,0,0,0.0
Benjamin Watson,NO,2.4,26.88,0.19,0,0,0,0,0,0.0
Blake Bell,JAX,0.0,0.0,0.0,0,0,0,0,0,0.0
Blake Jarwin,DAL,0.2,2.3,0.0,0,0,0,0,0,0.0
Brian Parker,DEN,0.0,0.0,0.0,0,0,0,0,0,0.0
C.J. Uzomah,CIN,2.77,29.71,0.0,0,0,0,0,0,0.0
Cameron Brate,TB,1.0,15.0,0.0,0,0,0,0,0,0.0
Chris Manhertz,CAR,0.0,0.0,0.0,0,0,0,0,0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Dallas Goedert,PHI,1.13,12.6,0.0,0,0,0,0,0,0.0
Dalton Schultz,DAL,0.3,3.1,0.0,0,0,0,0,0,0.0
Dan Arnold,NO,0.4,5.0,0.0,0,0,0,0,0,0.0
Daniel Brown,CHI,0.0,0.0,0.0,0,0,0,0,0,0.0
Darrell Daniels,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Demetrius Harris,KC,0.77,7.59,0.0,0,0,0,0,0,0.0
Derek Carrier,OAK,0.3,3.0,0.0,0,0,0,0,0,0.0
Ed Dickson,SEA,1.09,13.86,0.0,0,0,0,0,0,0.0
Eric Ebron,IND,2.0,25.0,0.18,0,0,0,0,0,0.0
Eric Saubert,ATL,0.2,1.9,0.0,0,0,0,0,0,0.0
Evan Engram,NYG,3.7,35.27,0.0,0,0,0,0,0,0.0
Geoff Swaim,DAL,1.8,17.7,0.0,0,0,0,0,0,0.0
Gerald Everett,LAR,1.7,21.3,0.0,0,0,0,0,0,0.0
Greg Olsen,CAR,4.0,47.8,0.3,0,0,0,0,0,0.0
Hayden Hurst,BAL,1.2,12.8,0.0,0,0,0,0,0,0.0
Ian Thomas,CAR,0.1,1.1,0.0,0,0,0,0,0,0.0
Jack Doyle,IND,3.7,37.7,0.3,0,0,0,0,0,0.0
James O'Shaughnessy,JAX,2.2,21.8,0.0,0,0,0,0,0,0.0
Jared Cook,OAK,3.64,41.51,0.2,0,0,0,0,0,0.0
Jeff Heuerman,DEN,3.2,29.62,0.0,0,0,0,0,0,0.0
Jeremy Sprinkle,WAS,0.1,1.1,0.0,0,0,0,0,0,0.0
Jermaine Gresham,ARI,0.7482623574777452,6.110812650666892,0.0,0,0,0,0,0,0.0
Jesse James,PIT,1.0,15.0,0.0,0,0,0,0,0,0.0
Jimmy Graham,GB,3.3,40.0,0.0,0,0,0,0,0,0.0
John Phillips,ARI,0.0,0.0,0.0,0,0,0,0,0,0.0
Jonnu Smith,TEN,1.9,20.2,0.0,0,0,0,0,0,0.0
Jordan Akins,HOU,0.68,6.16,0.0,0,0,0,0,0,0.0
Jordan Franks,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Jordan Reed,WAS,3.9,39.3,0.0,0,0,0,0,0,0.0
Jordan Thomas,HOU,1.2074492607718716,13.106542603825812,0.0,0,0,0,0,0,0.0
Josh Hill,NO,0.9,8.5,0.0,0,0,0,0,0,0.0
Kyle Rudolph,MIN,3.4,33.6,0.0,0,0,0,0,0,0.0
Lance Kendricks,GB,0.9,9.9,0.0,0,0,0,0,0,0.0
Lee Smith,OAK,0.0,0.0,0.0,0,0,0,0,0,0.0
Levine Toilolo,DET,0.3,3.1,0.0,0,0,0,0,0,0.0
Logan Paulsen,ATL,0.1,0.9,0.0,0,0,0,0,0,0.0
Luke Stocker,TEN,0.82,7.1,0.0,0,0,0,0,0,0.0
Luke Willson,DET,0.7,8.3,0.0,0,0,0,0,0,0.0
Marcedes Lewis,GB,0.3,3.1,0.0,0,0,0,0,0,0.0
Mark Andrews,BAL,1.4,15.1,0.1,0,0,0,0,0,0.0
Matt LaCosse,DEN,1.0,5.226541579204515,0.0,0,0,0,0,0,0.0
Matt Lengel,CIN,0.0,0.0,0.0,0,0,0,0,0,0.0
Mo Alie-Cox,IND,0.8,8.6,0.0,0,0,0,0,0,0.0
MyCole Pruitt,TEN,0.0,0.0,0.0,0,0,0,0,0,0.0
Nick Boyle,BAL,0.7,6.3,0.0,0,0,0,0,0,0.0
Nick Vannett,SEA,2.0,21.8,0.0,0,0,0,0,0,0.0
O.J. Howard,TB,2.9,41.3,0.0,0,0,0,0,0,0.0
Rhett Ellison,NYG,0.8,7.5,0.08,0,0,0,0,0,0.0
Ricky Seals-Jones,ARI,3.0,32.4,0.0,0,0,0,0,0,0.0
Rico Gathers,DAL,0.2,2.9,0.0,0,0,0,0,0,0.0
Ryan Griffin,HOU,1.6,19.4,0.0,0,0,0,0,0,0.0
Scott Simonson,NYG,0.0,0.0,0.0,0,0,0,0,0,0.0
Sean Culkin,LAC,0.0,0.0,0.0,0,0,0,0,0,0.0
Travis Kelce,KC,6.07,74.93,0.5,0,0,0,0,0,0.0
Trey Burton,CHI,3.0,36.0,0.3,0,0,0,0,0,0.0
Tyler Conklin,MIN,0.1,0.6,0.0,0,0,0,0,0,0.0
Tyler Higbee,LAR,1.0,10.0,0.0,0,0,0,0,0,0.0
Vance McDonald,PIT,3.0,34.5,0.2,0,0,0,0,0,0.0
Vernon Davis,WAS,1.48,20.78,0.0,0,0,0,0,0,0.0
Virgil Green,LAC,1.0,11.9,0.0,0,0,0,0,0,0.0
Xavier Grimble,PIT,0.1,1.2,0.0,0,0,0,0,0,0.0
Zach Ertz,PHI,6.4,77.3,0.5,0,0,0,0,0,0.0
