Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Return Yds,Pts Allow,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,6.0,1.0,0.0,0.0,0.0,0.0,117.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,368.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,59.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,80.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,215.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,2.0,1.0,3.0,0.0,1.0,50.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,1.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,254.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,0.0,1.0,2.0,0.0,0.0,120.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,350.0,0.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,379.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,1.0,DST
Kansas City Chiefs,KC,1.0,0.0,0.0,1.0,1.0,0.0,1.0,43.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,2.0,0.0,0.0,1.0,0.0,83.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,477.0,0.0,0.0,0.0,0.0,1.0,DST
Dallas Cowboys,DAL,1.0,1.0,0.0,0.0,1.0,0.0,0.0,78.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,412.0,0.0,0.0,0.0,1.0,0.0,DST
Miami Dolphins,MIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,347.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,1.0,1.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,0.0,0.0,1.0,0.0,0.0,96.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,281.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,5.0,1.0,1.0,2.0,0.0,1.0,20.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,1.0,DST
New York Jets,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,311.0,0.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,284.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,3.0,0.0,0.0,0.0,0.0,0.0,83.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,373.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,1.0,1.0,0.0,0.0,23.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,444.0,0.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,4.0,0.0,0.0,0.0,0.0,0.0,93.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,298.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,1.0,1.0,0.0,0.0,0.0,143.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,440.0,0.0,0.0,0.0,1.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,1.0,0.0,1.0,0.0,0.0,96.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,381.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,1.0,0.0,2.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,186.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,3.0,1.0,1.0,1.0,0.0,2.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,237.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,2.0,1.0,1.0,0.0,0.0,51.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,288.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,4.0,1.0,1.0,0.0,1.0,46.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,195.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,74.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,445.0,0.0,0.0,0.0,1.0,0.0,DST
Minnesota Vikings,MIN,1.0,6.0,0.0,0.0,0.0,0.0,0.0,97.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,0.0,1.0,0.0,0.0,0.0,DST
