Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,4.0,2.0,0.0,2.0,0.0,0.0,46.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,177.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,478.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Cincinnati Bengals,CIN,1.0,4.0,0.0,0.0,1.0,0.0,1.0,122.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,494.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,0.0,1.0,0.0,2.0,0.0,0.0,113.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,484.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Cleveland Browns,CLE,1.0,0.0,1.0,0.0,0.0,0.0,1.0,75.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,356.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,0.0,1.0,0.0,0.0,41.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,6.0,0.0,1.0,0.0,0.0,1.0,27.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,391.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,1.0,2.0,2.0,0.0,0.0,38.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,246.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,0.0,1.0,0.0,1.0,68.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,463.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Dallas Cowboys,DAL,1.0,4.0,1.0,1.0,2.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,319.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,0.0,1.0,0.0,0.0,105.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,589.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Philadelphia Eagles,PHI,1.0,0.0,3.0,0.0,1.0,1.0,0.0,38.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,2.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,302.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,286.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,3.0,1.0,0.0,0.0,1.0,0.0,10.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,263.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,325.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,4.0,0.0,2.0,1.0,0.0,0.0,125.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,446.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,4.0,0.0,0.0,1.0,0.0,1.0,96.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,3.0,1.0,1.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,2.0,1.0,1.0,0.0,0.0,52.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,390.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,4.0,1.0,1.0,2.0,0.0,0.0,141.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,406.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,1.0,5.0,0.0,0.0,0.0,1.0,18.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,1.0,0.0,0.0,0.0,91.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,0.0,1.0,0.0,0.0,59.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,368.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,1.0,0.0,0.0,0.0,0.0,32.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-2.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,415.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,348.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
