Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,2PT,Tack,Ast,POS
Davante Adams,GB,1.0,0.0,0.0,5.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Keenan Allen,LAC,1.0,1.0,6.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Amendola,MIA,1.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robby Anderson,NYJ,1.0,0.0,0.0,4.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR
Tavon Austin,DAL,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Doug Baldwin,SEA,1.0,0.0,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Beasley,DAL,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Bellamy,CHI,1.0,0.0,0.0,2.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kelvin Benjamin,KC,1.0,0.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Travis Benjamin,LAC,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,WR
Victor Bolden,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,WR
Kendrick Bourne,SF,1.0,0.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kenny Britt,,1.0,0.0,0.0,2.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Antonio Brown,PIT,1.0,0.0,0.0,3.0,47.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,WR
Jaron Brown,SEA,1.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Brown,BAL,1.0,0.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dez Bryant,NO,1.0,0.0,0.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Martavis Bryant,OAK,1.0,1.0,-9.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,WR
